datum,honap,het,nap_sorszam,tranzakcio_id,osszeg,kategoria,user_id,profil,tipus,leiras,forras,ismetlodo,fix_koltseg,bev_kiad_tipus,platform,helyszin,deviza,cimke,celhoz_kotott,balance,reszvenyek,egyeb_befektetes,assets
2024-06-01,2024-06,22,5,30_20240601_5969,356148.0,fizetes,30,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,348180,157373,304163,809716
2024-06-01,2024-06,22,5,16_20240601_7060,350928.0,fizetes,16,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,291066,265119,79733,635918
2024-06-01,2024-06,22,5,13_20240601_1657,366943.0,fizetes,13,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,359470,100365,260463,720298
2024-06-01,2024-06,22,5,29_20240601_2677,356849.0,fizetes,29,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,333343,109114,365629,808086
2024-06-01,2024-06,22,5,26_20240601_7429,349504.0,fizetes,26,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,244030,60437,400409,704876
2024-06-01,2024-06,22,5,24_20240601_8892,372164.0,fizetes,24,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,401147,155783,342738,899668
2024-06-01,2024-06,22,5,40_20240601_9816,644935.0,fizetes,40,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,-8320,599186,576951,1167817
2024-06-01,2024-06,22,5,27_20240601_1162,346243.0,fizetes,27,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,294604,124593,240110,659307
2024-06-01,2024-06,22,5,20_20240601_9784,335484.0,fizetes,20,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,240456,125283,263524,629263
2024-06-01,2024-06,22,5,38_20240601_1064,552363.0,fizetes,38,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,255535,414301,347097,1016933
2024-06-01,2024-06,22,5,6_20240601_7279,202059.0,fizetes,6,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,789604,57806,114315,961725
2024-06-01,2024-06,22,5,35_20240601_8701,327058.0,fizetes,35,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,271572,142327,188081,601980
2024-06-01,2024-06,22,5,1_20240601_6816,187296.0,fizetes,1,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,654884,51894,209841,916619
2024-06-02,2024-06,22,6,31_20240602_7730,338880.0,fizetes,31,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,292571,109608,341838,744017
2024-06-02,2024-06,22,6,46_20240602_4270,256894.0,fizetes,46,arerzekeny,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,1427524,57842,215798,1701164
2024-06-02,2024-06,22,6,23_20240602_2802,332310.0,fizetes,23,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,318372,132512,304402,755286
2024-06-02,2024-06,22,6,22_20240602_9183,369583.0,fizetes,22,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,523825,233236,127144,884205
2024-06-02,2024-06,22,6,28_20240602_8577,328796.0,fizetes,28,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,225098,171663,332245,729006
2024-06-02,2024-06,22,6,44_20240602_2741,653331.0,fizetes,44,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,129161,288241,708746,1126148
2024-06-02,2024-06,22,6,32_20240602_8023,367590.0,fizetes,32,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,322141,42650,306926,671717
2024-06-02,2024-06,22,6,5_20240602_9217,180425.0,fizetes,5,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,477066,19079,87383,583528
2024-06-02,2024-06,22,6,34_20240602_4167,363564.0,fizetes,34,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,523610,128763,154568,806941
2024-06-02,2024-06,22,6,19_20240602_6576,358392.0,fizetes,19,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,390053,79606,416191,885850
2024-06-02,2024-06,22,6,48_20240602_7328,263284.0,fizetes,48,arerzekeny,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,1184711,58807,78830,1322348
2024-06-02,2024-06,22,6,8_20240602_2804,185164.0,fizetes,8,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,352325,29651,230149,612125
2024-06-02,2024-06,22,6,47_20240602_9801,273217.0,fizetes,47,arerzekeny,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,1436689,49516,85684,1571889
2024-06-02,2024-06,22,6,33_20240602_4825,339725.0,fizetes,33,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,365883,157691,193273,716847
2024-06-02,2024-06,22,6,42_20240602_2467,598082.0,fizetes,42,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,384777,484177,106888,975842
2024-06-02,2024-06,22,6,18_20240602_2339,353077.0,fizetes,18,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,284944,131253,186622,602819
2024-06-02,2024-06,22,6,37_20240602_7143,615525.0,fizetes,37,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,534452,203667,300594,1038713
2024-06-02,2024-06,22,6,49_20240602_8879,258281.0,fizetes,49,arerzekeny,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,1323256,47976,138755,1509987
2024-06-02,2024-06,22,6,12_20240602_1787,360005.0,fizetes,12,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,294217,204357,208725,707299
2024-06-02,2024-06,22,6,9_20240602_5490,184558.0,fizetes,9,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,579675,51466,61466,692607
2024-06-03,2024-06,23,0,15_20240603_5789,362170.0,fizetes,15,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,280722,215234,267880,763836
2024-06-03,2024-06,23,0,3_20240603_6910,186140.0,fizetes,3,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,449533,53679,152847,656059
2024-06-03,2024-06,23,0,7_20240603_2843,219565.0,fizetes,7,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,936894,22170,137110,1096174
2024-06-03,2024-06,23,0,21_20240603_2315,350009.0,fizetes,21,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,248791,173976,183419,606186
2024-06-03,2024-06,23,0,2_20240603_7014,186717.0,fizetes,2,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,430031,23502,35031,488564
2024-06-03,2024-06,23,0,39_20240603_8974,653224.0,fizetes,39,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,-229522,465524,929586,1165588
2024-06-03,2024-06,23,0,17_20240603_2449,341162.0,fizetes,17,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,257847,95806,386255,739908
2024-06-03,2024-06,23,0,41_20240603_7412,558373.0,fizetes,41,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,656446,86061,163081,905588
2024-06-03,2024-06,23,0,11_20240603_7145,338730.0,fizetes,11,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,213682,284873,121182,619737
2024-06-03,2024-06,23,0,4_20240603_5702,193031.0,fizetes,4,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,473949,75428,96496,645873
2024-06-03,2024-06,23,0,10_20240603_6555,204911.0,fizetes,10,alacsony_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,700264,31750,142562,874576
2024-06-03,2024-06,23,0,14_20240603_8137,327103.0,fizetes,14,kozeposztaly,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,208527,154807,208697,572031
2024-06-03,2024-06,23,0,45_20240603_5466,574760.0,fizetes,45,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,593534,254576,286736,1134846
2024-06-03,2024-06,23,0,43_20240603_9034,552224.0,fizetes,43,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,325166,251996,376212,953374
2024-06-03,2024-06,23,0,36_20240603_2076,627684.0,fizetes,36,magas_jov,bevetel,havi fizetes,demo,True,False,bevetel,utalas,Banki utalas,HUF,"jovedelem, fix",,7665,478185,701935,1187785
