tcdb_id,season,card_url,card_text,extra,set_id,card_id,set_name,card_nr,auto,memo,SN
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351085/cid/20737080/2022-23-Score-Ligue-1-91-Matthis-Abline,2022-23 Score Ligue 1 #91 Matthis Abline,RC,351085,20737080,2022-23 Score Ligue 1 ,91,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351095/cid/20739216/2022-23-Score-Ligue-1---Black-Lasers-91-Matthis-Abline,2022-23 Score Ligue 1 - Black Lasers #91 Matthis Abline,SN1,351095,20739216,2022-23 Score Ligue 1,91,False,False,1.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351094/cid/20739014/2022-23-Score-Ligue-1---Black-Swirl-91-Matthis-Abline,2022-23 Score Ligue 1 - Black Swirl #91 Matthis Abline,SN1,351094,20739014,2022-23 Score Ligue 1,91,False,False,1.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351089/cid/20738000/2022-23-Score-Ligue-1---Blue-Laser-91-Matthis-Abline,2022-23 Score Ligue 1 - Blue Laser #91 Matthis Abline,SN60,351089,20738000,2022-23 Score Ligue 1,91,False,False,60.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351104/cid/20740407/2022-23-Score-Ligue-1---Breakthrough-6-Matthis-Abline,2022-23 Score Ligue 1 - Breakthrough #6 Matthis Abline,,351104,20740407,2022-23 Score Ligue 1,6,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351107/cid/20740451/2022-23-Score-Ligue-1---Breakthrough-Black-Lasers-6-Matthis-Abline,2022-23 Score Ligue 1 - Breakthrough Black Lasers #6 Matthis Abline,SN1,351107,20740451,2022-23 Score Ligue 1,6,False,False,1.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351106/cid/20740483/2022-23-Score-Ligue-1---Breakthrough-Black-Swirl-6-Matthis-Abline,2022-23 Score Ligue 1 - Breakthrough Black Swirl #6 Matthis Abline,SN1,351106,20740483,2022-23 Score Ligue 1,6,False,False,1.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351108/cid/20740515/2022-23-Score-Ligue-1---Breakthrough-Gold-Swirl-6-Matthis-Abline,2022-23 Score Ligue 1 - Breakthrough Gold Swirl #6 Matthis Abline,SN10,351108,20740515,2022-23 Score Ligue 1,6,False,False,10.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351105/cid/20740547/2022-23-Score-Ligue-1---Breakthrough-Purple-Lasers-6-Matthis-Abline,2022-23 Score Ligue 1 - Breakthrough Purple Lasers #6 Matthis Abline,SN15,351105,20740547,2022-23 Score Ligue 1,6,False,False,15.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351090/cid/20738204/2022-23-Score-Ligue-1---Bronze-Swirl-91-Matthis-Abline,2022-23 Score Ligue 1 - Bronze Swirl #91 Matthis Abline,SN55,351090,20738204,2022-23 Score Ligue 1,91,False,False,55.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351093/cid/20738610/2022-23-Score-Ligue-1---Gold-Swirl-91-Matthis-Abline,2022-23 Score Ligue 1 - Gold Swirl #91 Matthis Abline,SN10,351093,20738610,2022-23 Score Ligue 1,91,False,False,10.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351096/cid/20739418/2022-23-Score-Ligue-1---Green-Lasers-91-Matthis-Abline,2022-23 Score Ligue 1 - Green Lasers #91 Matthis Abline,SN5,351096,20739418,2022-23 Score Ligue 1,91,False,False,5.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351114/cid/20740641/2022-23-Score-Ligue-1---Intergalactic-4-Matthis-Abline,2022-23 Score Ligue 1 - Intergalactic #4 Matthis Abline,,351114,20740641,2022-23 Score Ligue 1,4,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351086/cid/20737390/2022-23-Score-Ligue-1---Lasers-91-Matthis-Abline,2022-23 Score Ligue 1 - Lasers #91 Matthis Abline,,351086,20737390,2022-23 Score Ligue 1,91,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351098/cid/20739620/2022-23-Score-Ligue-1---Orange-Lasers-91-Matthis-Abline,2022-23 Score Ligue 1 - Orange Lasers #91 Matthis Abline,SN35,351098,20739620,2022-23 Score Ligue 1,91,False,False,35.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351091/cid/20738406/2022-23-Score-Ligue-1---Pink-Swirl-91-Matthis-Abline,2022-23 Score Ligue 1 - Pink Swirl #91 Matthis Abline,SN45,351091,20738406,2022-23 Score Ligue 1,91,False,False,45.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351097/cid/20739822/2022-23-Score-Ligue-1---Purple-Lasers-91-Matthis-Abline,2022-23 Score Ligue 1 - Purple Lasers #91 Matthis Abline,SN15,351097,20739822,2022-23 Score Ligue 1,91,False,False,15.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351088/cid/20737798/2022-23-Score-Ligue-1---Red-Swirl-91-Matthis-Abline,2022-23 Score Ligue 1 - Red Swirl #91 Matthis Abline,SN65,351088,20737798,2022-23 Score Ligue 1,91,False,False,65.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351092/cid/20738812/2022-23-Score-Ligue-1---Silver-Swirl-91-Matthis-Abline,2022-23 Score Ligue 1 - Silver Swirl #91 Matthis Abline,SN25,351092,20738812,2022-23 Score Ligue 1,91,False,False,25.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/351087/cid/20737592/2022-23-Score-Ligue-1---Swirl-91-Matthis-Abline,2022-23 Score Ligue 1 - Swirl #91 Matthis Abline,,351087,20737592,2022-23 Score Ligue 1,91,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/380231/cid/22204122/2022-23-Topps-Chrome-Sapphire-Edition-UEFA-Club-Competitions-167-Matthis-Abline,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions #167 Matthis Abline,RC,380231,22204122,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions ,167,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/380234/cid/22204548/2022-23-Topps-Chrome-Sapphire-Edition-UEFA-Club-Competitions---Green-167-Matthis-Abline,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions - Green #167 Matthis Abline,SN70,380234,22204548,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions,167,False,False,70.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/380235/cid/22204760/2022-23-Topps-Chrome-Sapphire-Edition-UEFA-Club-Competitions---Orange-167-Matthis-Abline,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions - Orange #167 Matthis Abline,SN50,380235,22204760,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions,167,False,False,50.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/380238/cid/22205396/2022-23-Topps-Chrome-Sapphire-Edition-UEFA-Club-Competitions---Padparadscha-167-Matthis-Abline,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions - Padparadscha #167 Matthis Abline,SN1,380238,22205396,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions,167,False,False,1.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/380236/cid/22204972/2022-23-Topps-Chrome-Sapphire-Edition-UEFA-Club-Competitions---Purple-167-Matthis-Abline,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions - Purple #167 Matthis Abline,SN15,380236,22204972,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions,167,False,False,15.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/380237/cid/22205184/2022-23-Topps-Chrome-Sapphire-Edition-UEFA-Club-Competitions---Red-167-Matthis-Abline,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions - Red #167 Matthis Abline,SN5,380237,22205184,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions,167,False,False,5.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/380233/cid/22204336/2022-23-Topps-Chrome-Sapphire-Edition-UEFA-Club-Competitions---Yellow-167-Matthis-Abline,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions - Yellow #167 Matthis Abline,SN99,380233,22204336,2022-23 Topps Chrome Sapphire Edition UEFA Club Competitions,167,False,False,99.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/368300/cid/21748295/2022-23-Topps-Chrome-UEFA-Club-Competitions-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions #167 Matthis Abline,RC,368300,21748295,2022-23 Topps Chrome UEFA Club Competitions ,167,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/371804/cid/21800241/2022-23-Topps-Chrome-UEFA-Club-Competitions---Aqua-Lava-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Aqua Lava Refractor #167 Matthis Abline,,371804,21800241,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369708/cid/21715238/2022-23-Topps-Chrome-UEFA-Club-Competitions---Aqua-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Aqua Refractor #167 Matthis Abline,SN199,369708,21715238,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,199.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369709/cid/21715440/2022-23-Topps-Chrome-UEFA-Club-Competitions---Aqua-Wave-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Aqua Wave Refractor #167 Matthis Abline,SN199,369709,21715440,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,199.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369716/cid/21716854/2022-23-Topps-Chrome-UEFA-Club-Competitions---Black-&-Gold-Seismic-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Black & Gold Seismic Refractor #167 Matthis Abline,SN30,369716,21716854,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,30.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369701/cid/21713822/2022-23-Topps-Chrome-UEFA-Club-Competitions---Black-&-White-Ray-Wave-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Black & White Ray Wave Refractor #167 Matthis Abline,,369701,21713822,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369718/cid/21717258/2022-23-Topps-Chrome-UEFA-Club-Competitions---Black-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Black Refractor #167 Matthis Abline,SN10,369718,21717258,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,10.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369712/cid/21716046/2022-23-Topps-Chrome-UEFA-Club-Competitions---Blue-&-Gold-Seismic-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Blue & Gold Seismic Refractor #167 Matthis Abline,SN75,369712,21716046,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,75.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/386247/cid/22573368/2022-23-Topps-Chrome-UEFA-Club-Competitions---Blue-Lava-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Blue Lava Refractor #167 Matthis Abline,,386247,22573368,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369711/cid/21715844/2022-23-Topps-Chrome-UEFA-Club-Competitions---Blue-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Blue Refractor #167 Matthis Abline,SN150,369711,21715844,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,150.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/371806/cid/21800645/2022-23-Topps-Chrome-UEFA-Club-Competitions---Gold-Lava-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Gold Lava Refractor #167 Matthis Abline,,371806,21800645,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369715/cid/21716652/2022-23-Topps-Chrome-UEFA-Club-Competitions---Gold-Mini-Diamond-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Gold Mini-Diamond Refractor #167 Matthis Abline,SN50,369715,21716652,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,50.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369714/cid/21716450/2022-23-Topps-Chrome-UEFA-Club-Competitions---Gold-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Gold Refractor #167 Matthis Abline,SN50,369714,21716450,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,50.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/371805/cid/21800443/2022-23-Topps-Chrome-UEFA-Club-Competitions---Neon-Green-Lava-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Neon Green Lava Refractor #167 Matthis Abline,,371805,21800443,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369703/cid/21714228/2022-23-Topps-Chrome-UEFA-Club-Competitions---Neon-Green-Shimmer-Refractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Neon Green Shimmer Refractor #167 Matthis Abline,SN399,369703,21714228,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,399.0
378186.0,2022-23,https://www.tcdb.com/ViewCard.cfm/sid/369704/cid/21714430/2022-23-Topps-Chrome-UEFA-Club-Competitions---Neon-Green-X-Fractor-167-Matthis-Abline,2022-23 Topps Chrome UEFA Club Competitions - Neon Green X-Fractor #167 Matthis Abline,SN399,369704,21714430,2022-23 Topps Chrome UEFA Club Competitions,167,False,False,399.0
