timestamp,salon_name,email,status,details
2026-06-09 10:58:02,Test Thai Massage,admexgm@gmail.com,SENT,Success
2026-06-09 11:01:05,Somchai Thai Massages,somchaithaimassage2@gmail.com,SENT,Success
2026-06-09 11:01:16,Niradi Thai Masszázs,nitradeetook@gmail.com,SENT,Success
2026-06-09 11:01:27,Let's Relax Thai Massage,info@letsrelaxthaimassage.eu,SENT,Success
2026-06-09 11:01:38,Miracle Thai massage,nijpasindarin@gmail.com,SENT,Success
2026-06-09 11:01:49,Mint Thai Massage,hello@mintthaimassage.hu,SENT,Success
2026-06-09 11:02:00,Spirit Thai Massage,info@thai-masszazs.net,SENT,Success
2026-06-09 11:02:11,Zöldsziget Masszázs Stúdió,suranyireka@gmail.com,SENT,Success
2026-06-09 11:02:22,Thongdee Thai Masszázs,thongdee.thai.spa@gmail.com,SENT,Success
2026-06-09 11:02:34,Paradise Thai Massage,paradise.thai.massage@hotmail.com,SENT,Success
2026-06-09 11:02:45,Thai Vibe Masszázs,thaivibemasszazs@gmail.com,SENT,Success
2026-06-09 11:02:56,Full Moon Thai Massage,thaifullmoonmassage@gmail.com,SENT,Success
2026-06-09 11:03:07,Urai Thai Masszázs,uraibudai@gmail.com,SENT,Success
2026-06-09 11:03:18,Aileen Thai Massage,aileenthaimassage@gmail.com,SENT,Success
2026-06-09 11:03:29,Taran Thai Massage,taranthaimassage@gmail.com,SENT,Success
2026-06-09 11:03:40,Medi-Thai Massage Therapy,info@medi-thai.com,SENT,Success
2026-06-09 11:03:51,Well Thais Massage,wellthaiskft@gmail.com,SENT,Success
2026-06-09 11:04:02,Moon Thai Masszázs,laszgergely@gmail.com,SENT,Success
2026-06-09 11:04:13,The Nara Thai Massage,info@thenarathai.hu,SENT,Success
2026-06-09 11:04:24,Aloa Thai Massage Centre,info@aloethaimasszazs.hu,SENT,Success
2026-06-09 11:04:35,Tara Thai Massage Salon,nararootmassage@gmail.com,SENT,Success
2026-06-09 11:04:45,NUCHABA Thai Massage,massage@nuchaba.hu,SENT,Success
2026-06-09 11:04:56,Lady&Ann Masszázs Stúdió,ladyandannmasszazs@gmail.com,SENT,Success
2026-06-10 14:52:38,Test Thai Massage,admexgm@gmail.com,SENT,Success
2026-06-10 14:55:04,Test Thai Massage,admexgm@gmail.com,SENT,Success
2026-06-20 20:31:01,Test Thai Massage,admexgm@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:36:14,Somchai Thai Massages,somchaithaimassage2@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:36:26,Let's Relax Thai Massage,info@letsrelaxthaimassage.eu,FOLLOWUP_SENT,Success
2026-06-20 20:36:37,Miracle Thai massage,nijpasindarin@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:36:48,Mint Thai Massage,hello@mintthaimassage.hu,FOLLOWUP_SENT,Success
2026-06-20 20:37:00,Spirit Thai Massage,info@thai-masszazs.net,FOLLOWUP_SENT,Success
2026-06-20 20:37:11,Zöldsziget Masszázs Stúdió,suranyireka@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:37:21,Thongdee Thai Masszázs,thongdee.thai.spa@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:37:33,Paradise Thai Massage,paradise.thai.massage@hotmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:37:44,Full Moon Thai Massage,thaifullmoonmassage@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:37:54,Urai Thai Masszázs,uraibudai@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:38:05,Aileen Thai Massage,aileenthaimassage@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:38:16,Taran Thai Massage,taranthaimassage@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:38:27,Medi-Thai Massage Therapy,info@medi-thai.com,FOLLOWUP_SENT,Success
2026-06-20 20:38:39,Well Thais Massage,wellthaiskft@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:38:50,Moon Thai Masszázs,laszgergely@gmail.com,FOLLOWUP_SENT,Success
2026-06-20 20:39:02,The Nara Thai Massage,info@thenarathai.hu,FOLLOWUP_SENT,Success
2026-06-20 20:39:13,Aloa Thai Massage Centre,info@aloethaimasszazs.hu,FOLLOWUP_SENT,Success
2026-06-20 20:39:24,Tara Thai Massage Salon,nararootmassage@gmail.com,FOLLOWUP_SENT,Success
